company,title,keywords
(주)필라넷,백엔드개발자,
(주)테일크루,모바일&백엔드개발자 [모픽],
(주)올인원장,(주)올인원장. 즐겁게 함께 성장하실 백엔드개발자 모십니다:),
(주)케이지파이낸셜,[KG파이낸셜] 플랫폼개발팀 백엔드개발자 경력 채용,
(주)넵튠,솔루션개발실 백엔드개발자,
(주)소프트프릭,(주)소프트프릭 경력사원(백엔드개발자) 모집,
마인즈그라운드(주),AI 플랫폼 백엔드개발자 채용,
(주)브랜뉴닷컴,(주)브랜뉴닷컴 백엔드개발자 모집 (경력 1년 이상),
가이랩(주),가이랩(주) 백엔드개발자 모집,
(주)제온스,백엔드개발자(JAVA) 신입 및 경력 모집,Java
(주)한국이크레딧테크놀로지,[여의도] SI 증권사 백엔드 개발자 모집,
퍼스트브레인INT,"Wanted : AI 에이전트 백엔드 개발자, DX를 선도하는 기업",
퍼스트브레인INT,"Wanted: AI 에이전트 백엔드 개발자( RAG, 벡터DB 구축 )",
(주)씨어스,백엔드 개발자 경력 채용,
(주)아이스크림미디어,백엔드 개발자 모집,
(주)이파피루스,백엔드 개발자(JAVA / 3~15년 / 팀원),Java
(주)제네시스네스트,Java 백엔드 개발자 [경력 3~8년],Java
(주)이글루코퍼레이션,웹어플리케이션 백엔드 개발자(2년↑),
(주)카티스,[백엔드/프론트엔드개발] C# & Java 응용프로그램 개발자,Java
(주)틸론,백엔드 경력 개발자 채용,
(주)인피닉,[인피닉]AI연구소 백엔드 구축 개발자 채용,
(주)다래파크텍,[다래파크텍] C++ 백엔드 서버 개발자 경력직 채용,
(주)하이브랩,[하이브랩] Java / Spring 백엔드 개발자 채용 (6년 이상),"Java, Spring"
(주)NE능률,[NE능률] 백엔드 개발자 채용 (Back-end Engineer),
(주)키다리스튜디오,[다우키움 계열사] AI 활용 시스템 백엔드 개발자 (경력),
(주)키다리스튜디오,[다우키움 계열사] 숏폼 플랫폼 백엔드 개발자 (7년 이상),
(주)키다리스튜디오,[다우키움 계열사] 사내 정산 시스템 백엔드 개발자 (7년 이상),
(주)무하유,Java 백엔드 개발자 (경력 10년이상),Java
(주)로보티즈,[로보티즈AI] 자율주행로봇 시스템 백엔드 개발자,
(주)비트플래닛,[코스닥 상장사] 대구지사 백엔드/웹개발 개발자 채용,
(주)엔텔스,(주)엔텔스 백엔드 개발자 채용 (경력),
주식회사 버넥트,[VIRNECT] 백엔드 개발자 채용,
(주)엑셈,Java 백엔드 개발자 (2년 이상),Java
패스트레인(여신티켓),백엔드 개발자,
보나네트웍스 주식회사,[ERP개발팀] 프론트/백엔드 개발자(팀장급) 채용,
(주)에스비정보기술,(주)에스비정보기술 인프라 백엔드/프론트엔드 개발자 모집,
(주)사람인에이치에스,[송파/스타트업] 커머스사 백엔드 시스템 개발자 채용,
(주)엑스큐어넷,시니어 백엔드 개발자(Java / Spring) 채용,"Java, Spring"
(주)알스퀘어,[homedot] 시니어 백엔드 개발자 채용,
(주)아이티맨,JAVA·Python 백엔드 개발자 경력 채용 공고,"Java, Python"
